Wed May 20 14:03:17 BST 2015,201,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-79
Wed May 20 14:03:18 BST 2015,202,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-77
Wed May 20 14:03:19 BST 2015,203,DD:C7:A7:28:92:8F,-67,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-77
Wed May 20 14:03:20 BST 2015,204,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-76
Wed May 20 14:03:21 BST 2015,205,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-74
Wed May 20 14:03:22 BST 2015,206,DD:C7:A7:28:92:8F,-66,D2:39:1D:79:43:7B,-67,C4:A7:11:A1:77:3D,-73
Wed May 20 14:03:23 BST 2015,207,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-73
Wed May 20 14:03:24 BST 2015,208,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-67,D2:39:1D:79:43:7B,-74
Wed May 20 14:03:25 BST 2015,209,D2:39:1D:79:43:7B,-69,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-75
Wed May 20 14:03:26 BST 2015,210,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-75,D2:39:1D:79:43:7B,-76
Wed May 20 14:03:27 BST 2015,211,DD:C7:A7:28:92:8F,-65,C4:A7:11:A1:77:3D,-74,D2:39:1D:79:43:7B,-79
Wed May 20 14:03:28 BST 2015,212,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-75,D2:39:1D:79:43:7B,-77
Wed May 20 14:03:30 BST 2015,213,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-72,C4:A7:11:A1:77:3D,-75
Wed May 20 14:03:31 BST 2015,214,D2:39:1D:79:43:7B,-61,DD:C7:A7:28:92:8F,-66,C4:A7:11:A1:77:3D,-68
Wed May 20 14:03:32 BST 2015,215,C4:A7:11:A1:77:3D,-68,DD:C7:A7:28:92:8F,-69,D2:39:1D:79:43:7B,-75
Wed May 20 14:03:33 BST 2015,216,DD:C7:A7:28:92:8F,-69,D2:39:1D:79:43:7B,-73,C4:A7:11:A1:77:3D,-73
Wed May 20 14:03:34 BST 2015,217,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-76
Wed May 20 14:03:35 BST 2015,218,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-74,D2:39:1D:79:43:7B,-85
Wed May 20 14:03:36 BST 2015,219,D2:39:1D:79:43:7B,-62,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-74
Wed May 20 14:03:37 BST 2015,220,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-74,D2:39:1D:79:43:7B,-79
Wed May 20 14:03:38 BST 2015,221,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-74,D2:39:1D:79:43:7B,-90
Wed May 20 14:03:39 BST 2015,222,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-77,D2:39:1D:79:43:7B,-88
Wed May 20 14:03:40 BST 2015,223,C4:A7:11:A1:77:3D,-70,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-85
Wed May 20 14:03:41 BST 2015,224,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-78
Wed May 20 14:03:42 BST 2015,225,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-74,D2:39:1D:79:43:7B,-81
Wed May 20 14:03:44 BST 2015,226,DD:C7:A7:28:92:8F,-67,C4:A7:11:A1:77:3D,-74,D2:39:1D:79:43:7B,-78
Wed May 20 14:03:45 BST 2015,227,DD:C7:A7:28:92:8F,-65,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-76
Wed May 20 14:03:46 BST 2015,228,DD:C7:A7:28:92:8F,-66,D2:39:1D:79:43:7B,-69,C4:A7:11:A1:77:3D,-73
Wed May 20 14:03:47 BST 2015,229,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-72,DD:C7:A7:28:92:8F,-73
Wed May 20 14:03:48 BST 2015,230,C4:A7:11:A1:77:3D,-71,DD:C7:A7:28:92:8F,-73,D2:39:1D:79:43:7B,-74
Wed May 20 14:03:49 BST 2015,231,DD:C7:A7:28:92:8F,-68,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-77
Wed May 20 14:03:50 BST 2015,232,DD:C7:A7:28:92:8F,-64,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-75
